Greenlit Cards	Planning and Configuring a Cloud Solution on Google Cloud (James Wilson)	** Plan Category:**----**PE:** ----**DELIVERY:** ----**DEAL DESK:**	2018-10-26T19:00:00.000Z	Beth Gerard Hess	Dan Anderegg	Austin Allen
Greenlit Cards	TinkerPop Databases – Getting Started (Charles Nurse) Idea 3 of 3	**Plan Category:**   Curriculum Lead pick from here http://bit.ly/ps-plan	2018-08-14T19:00:00.000Z	Lisa Szpunar	Jim Christopher
Greenlit Cards	Creating Layouts with Flutter (Brian Egan)	** Plan Category:**----**PE:** ----**DELIVERY:** ----**DEAL DESK:**	2018-11-09T17:00:00.000Z	Beth Gerard Hess	Hampton Paulk
Greenlit Cards	Building Progressive Web Apps (PWAs) with Ionic (Michael Callaghan)	**Plan Category:**   Curriculum Lead pick from here http://bit.ly/ps-plan	2018-10-04T16:00:00.000Z	Jason Salmond	Hampton Paulk	Beth Gerard Hess
Greenlit Cards	Working with Subjects in RXJS (New author Tom Schreck)	**Plan Category:**   Curriculum Lead pick from here http://bit.ly/ps-plan	2018-10-29T18:00:00.000Z	Jason Salmond	Hampton Paulk
Greenlit Cards	Java Application Performance Tuning (Tim Ojo)	**Plan Category:**   Curriculum Lead pick from here http://bit.ly/ps-plan	2018-10-25T19:00:00.000Z	Koffi Alain Sessi	Beth Gerard Hess
Greenlit Cards	WPF Styles and Themes (Keith Harvey)	** Plan Category:**----**PE:** ----**DELIVERY:** ----**DEAL DESK:**	2018-10-31T18:00:00.000Z	Ashton Jensen	David Berry
Greenlit Cards	Getting Started with JIRA (Jim Weaver)	**Plan Category:**   Curriculum Lead pick from here http://bit.ly/ps-plan	2018-11-08T05:00:00.000Z	Chris Davis	Tod Gentille
Greenlit Cards	Bart De Smet	**Plan Category:**   Curriculum Lead pick from here http://bit.ly/ps-plan	2018-11-08T05:00:00.000Z	Ashton Jensen	David Berry
Update Request Cards	Unit Testing with Python (Emily Bache)	When a course needs an update, it will be requested here. This way we have open timelines and communication with the authors about courses that are out of date. This is where Curriculum Leads express an interest in having an author update a course and how we find out if the author wants to update or not. Please use the Proposal Update Template that has the following fields for tracking communication with the author.----**First communication w/ Author:**--**Author Response:**--**Proposal submitted:**--**Sent to Deal Desk:** Yes --**Deal Desk Offer:** 12% $3000--**Push back from Author:**		Hampton Paulk	Ashton Jensen	Troy Kranendonk
Update Request Cards	Styling React Components (Jake Trent)	Please reach out to the author and get a proposal for an update. If the author is unwilling to update or does not think this needs an update, please communicate that here. ----**First communication w/ Author:** 8/26/2018--**Author Response:** 8/27/2018--**Proposal submitted:** --**Sent to Deal Desk:** --**Deal Desk Offer:** --**Push back from Author:** ----This course should use the latest major version release of React (16.x)	2018-10-26T18:00:00.000Z	Hampton Paulk	Jason Salmond
Update Request Cards	HTML Forms (Matt Milner) COURSE UPDATE	** Plan Category:**----**PE:** ----**DELIVERY:** ----**DEAL DESK:**	2018-10-31T16:00:00.000Z	Jason Salmond	Hampton Paulk
